I V dI dV
-0.00198916441239 0.192170387938 0.005 0.5
0.00915779877611 1.24228589974 0.005 0.5
0.022232658274 1.93740028996 0.005 0.5
0.0300137228039 3.08461659176 0.005 0.5
0.0420137062159 4.01840429351 0.005 0.5
0.0498924553336 5.20350323461 0.005 0.5
0.0581093527229 6.12151634013 0.005 0.5
0.0685634670165 7.07296034537 0.005 0.5
0.0792743276815 7.89115079909 0.005 0.5
0.0913187281452 9.13641659546 0.005 0.5
0.0984044125976 9.76842179698 0.005 0.5
0.110564731204 10.8452479809 0.005 0.5
0.122055477926 11.7842408841 0.005 0.5
0.130400160446 12.7932103505 0.005 0.5
0.139831485921 14.1364301372 0.005 0.5
0.149841003674 15.1838909935 0.005 0.5
0.161083023974 16.2002966924 0.005 0.5
0.169676176816 17.0657312011 0.005 0.5
0.178950262915 18.0943571388 0.005 0.5
0.192181186418 18.8966495839 0.005 0.5
