#
# MD1: a minimal molecular dynamics program
#
# title
#  Input sample: coor.in
#                                (only positions read from file)
# Output sample: coor.out
# Number of steps:     100, time step: 0.0032, total time:      0.3200
# Number of atoms:   500
# Box size:    6.250000    6.250000    6.250000, Volume:        244.141
# Density:    2.048000 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.518521      0.777781     63.081594     63.859375    760.003247
      2      3.773264      5.659896     57.848072     63.507968    721.295864
      3      7.208889     10.813333     52.513549     63.326882    681.912931
      4      8.620700     12.931049     50.393816     63.324866    666.343975
      5      7.734134     11.601200     51.821623     63.422823    677.089372
      6      5.594119      8.391179     55.199375     63.590554    702.275914
      7      3.884687      5.827031     57.871700     63.698731    722.118129
      8      3.669856      5.504784     58.148403     63.653187    724.049376
      9      4.585652      6.878478     56.659320     63.537799    712.798821
     10      5.516257      8.274385     55.191746     63.466131    701.730695
     11      5.677973      8.516960     54.948952     63.465912    699.850489
     12      5.048969      7.573453     55.950004     63.523456    707.320662
     13      4.242756      6.364134     57.237934     63.602068    716.988535
     14      4.030605      6.045908     57.582256     63.628164    719.644854
     15      4.654491      6.981737     56.593330     63.575066    712.340871
     16      5.603801      8.405701     55.096582     63.502283    701.209832
     17      6.135061      9.202592     54.266896     63.469488    695.015635
     18      5.887872      8.831808     54.661428     63.493236    697.924795
     19      5.098283      7.647425     55.906712     63.554137    707.172247
     20      4.386336      6.579504     57.026989     63.606494    715.493025
     21      4.273172      6.409757     57.197206     63.606963    716.748131
     22      4.769463      7.154195     56.407209     63.561404    710.865958
     23      5.423041      8.134561     55.379153     63.513714    703.232780
     24      5.725574      8.588360     54.905524     63.493885    699.733548
     25      5.471403      8.207104     55.310468     63.517573    702.752971
     26      4.906973      7.360459     56.208940     63.569399    709.421384
     27      4.535009      6.802513     56.794744     63.597257    713.744893
     28      4.641120      6.961679     56.616137     63.577816    712.382447
     29      5.063194      7.594790     55.943872     63.538662    707.367581
     30      5.411460      8.117190     55.395203     63.512394    703.292268
     31      5.421119      8.131678     55.388668     63.520346    703.256526
     32      5.153780      7.730670     55.818643     63.549314    706.463693
     33      4.895877      7.343816     56.231370     63.575186    709.537450
     34      4.898594      7.347891     56.227239     63.575129    709.510812
     35      5.147049      7.720574     55.825214     63.545788    706.520632
     36      5.368986      8.053479     55.470765     63.524244    703.879844
     37      5.347305      8.020958     55.510070     63.531027    704.160477
     38      5.118088      7.677132     55.871927     63.549059    706.837528
     39      4.862372      7.293557     56.271196     63.564753    709.794397
     40      4.749993      7.124989     56.446263     63.571253    711.085370
     41      4.844361      7.266541     56.296385     63.562926    709.961788
     42      5.047205      7.570808     55.971350     63.542158    707.542772
     43      5.161305      7.741957     55.791975     63.533932    706.217964
     44      5.102171      7.653256     55.895261     63.548517    706.999188
     45      4.989026      7.483539     56.083762     63.567301    708.417492
     46      4.988860      7.483290     56.087102     63.570393    708.461416
     47      5.137004      7.705505     55.854495     63.560001    706.750276
     48      5.339019      8.008528     55.541148     63.549676    704.429328
     49      5.475198      8.212798     55.327642     63.540440    702.839943
     50      5.448415      8.172623     55.364849     63.537472    703.092570
     51      5.240205      7.860308     55.688025     63.548333    705.449407
     52      4.960153      7.440230     56.125313     63.565543    708.644642
     53      4.776403      7.164604     56.409496     63.574100    710.722903
     54      4.761845      7.142767     56.419022     63.561789    710.792702
     55      4.813035      7.219553     56.327408     63.546961    710.129686
     56      4.807833      7.211749     56.342206     63.553955    710.259055
     57      4.798746      7.198119     56.374629     63.572748    710.518779
     58      4.932321      7.398481     56.175960     63.574441    709.069071
     59      5.218567      7.827850     55.730960     63.558811    705.798217
     60      5.515890      8.273835     55.272863     63.546698    702.417233
     61      5.677951      8.516926     55.020198     63.537124    700.539891
